frame,raw_speed,smoothed_speed,points,median_px,state
303,22.21,32.88,35,0.01,track
304,21.14,31.41,35,0.02,track
305,19.6,27.95,35,0.01,track
306,41.45,27.95,35,0.04,track
307,31.25,27.95,35,0.03,track
308,110.77,27.95,35,0.01,track
309,121.79,31.25,35,0.01,track
310,138.94,31.25,35,0.01,track
311,174.05,31.25,35,0.1,track
312,176.63,31.25,35,0.04,track
313,200.24,31.25,35,0.01,track
314,202.17,41.45,35,0.0,track
315,176.97,110.77,35,0.01,track
316,9.71,110.77,33,0.0,track
317,9.18,110.77,33,0.0,track
318,9.42,110.77,33,0.01,track
319,8.59,110.77,33,0.01,track
320,8.03,110.77,33,0.0,track
321,28.33,110.77,32,0.01,track
322,6.75,110.77,32,0.01,track
323,6.72,28.33,32,0.01,track
324,6.3,9.71,32,0.01,track
325,5.51,9.42,32,0.0,track
326,5.54,9.18,32,0.0,track
327,5.47,8.59,32,0.01,track
328,4.97,8.03,32,0.01,track
329,4.87,6.75,32,0.01,track
330,4.21,6.72,32,0.04,track
331,5.15,6.3,32,0.03,track
